time/fps,time/total_timesteps,time/time_elapsed,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,train/std,train/learning_rate,train/approx_kl,train/loss,train/clip_range,train/n_updates,train/explained_variance,train/policy_gradient_loss,train/entropy_loss,train/clip_fraction,train/value_loss
5421,999424,184,61,407.9429016113281,300.0,0.20689304172992706,0.0003,0.051744718,-0.030375288799405098,0.2,600,0.9914615154266357,-0.01786370667250594,2.814157006144524,0.445953369140625,0.005500790163932834
5422,1015808,187,62,418.51971435546875,300.0,0.2065301537513733,0.0003,0.049284518,-0.03848906233906746,0.2,610,0.9899498224258423,-0.019338628713740036,2.85102504119277,0.4555419921875,0.005306203645886853
5428,1032192,190,63,419.675537109375,300.0,0.2061396986246109,0.0003,0.05457467,-0.039578232914209366,0.2,620,0.9930856823921204,-0.02010886158241192,2.884661880880594,0.457965087890625,0.0046894253166101406
5432,1048576,193,64,427.45147705078125,300.0,0.2055535465478897,0.0003,0.047445044,-0.029140904545783997,0.2,630,0.9835414290428162,-0.01744756049592979,2.9375383257865906,0.4505126953125,0.004623736938083311
5433,1064960,196,65,414.5249328613281,300.0,0.20529597997665405,0.0003,0.05014265,-0.03416803106665611,0.2,640,0.9910269975662231,-0.020687581247329945,2.9609221778810024,0.450030517578125,0.00427108253861661
5434,1081344,198,66,391.84552001953125,300.0,0.2047872543334961,0.0003,0.05422298,-0.03316614031791687,0.2,650,0.9916265606880188,-0.018425027412740748,3.0019606083631514,0.467535400390625,0.006034502742113546
5435,1097728,201,67,393.214111328125,300.0,0.204725980758667,0.0003,0.055492654,-0.03478545695543289,0.2,660,0.9924435019493103,-0.018100120931921992,3.023053317517042,0.468243408203125,0.00503590366570279
5436,1114112,204,68,388.1552734375,300.0,0.20447027683258057,0.0003,0.05152994,-0.038102954626083374,0.2,670,0.9902343153953552,-0.020226805510174018,3.0295838192105293,0.46402587890625,0.005720886110793799
5438,1130496,207,69,402.21368408203125,300.0,0.20406435430049896,0.0003,0.05148495,-0.016646534204483032,0.2,680,0.992021918296814,-0.01620130714873085,3.0705378837883472,0.4630615234375,0.006071672320831567
5439,1146880,210,70,415.1001892089844,300.0,0.20384164154529572,0.0003,0.05085385,-0.03774246200919151,0.2,690,0.9920381903648376,-0.017669147523702123,3.089426680654287,0.462261962890625,0.005037518949393416
5443,1163264,213,71,416.2372131347656,300.0,0.20333106815814972,0.0003,0.054258987,-0.03035133145749569,0.2,700,0.9924858808517456,-0.01754898114450043,3.1284276194870473,0.4706298828125,0.005716477378155105
5448,1179648,216,72,443.3551940917969,300.0,0.20305007696151733,0.0003,0.055106886,-0.021752825006842613,0.2,710,0.9926140308380127,-0.01844127372824005,3.160896836221218,0.461712646484375,0.004152341069857357
5448,1196032,219,73,422.47613525390625,300.0,0.20273026823997498,0.0003,0.050315283,-0.03998802229762077,0.2,720,0.991138219833374,-0.017836989037459717,3.1905117630958557,0.466357421875,0.0037760136925498954
5450,1212416,222,74,409.10198974609375,300.0,0.2023063749074936,0.0003,0.053660236,-0.017001111060380936,0.2,730,0.9925840497016907,-0.017783000669442117,3.2223405584692957,0.475689697265625,0.00505661383504048
5452,1228800,225,75,415.8402404785156,300.0,0.20181098580360413,0.0003,0.055327863,-0.03323454037308693,0.2,740,0.991623044013977,-0.01843898372753756,3.2652424938976763,0.47537841796875,0.005469262538827025
5452,1245184,228,76,426.8291320800781,300.0,0.2017175555229187,0.0003,0.05605843,-0.0155745605006814,0.2,750,0.9922925233840942,-0.01734503164625494,3.28728860989213,0.472381591796875,0.004746633960894542
5455,1261568,231,77,422.8666076660156,300.0,0.2012549191713333,0.0003,0.050732784,-0.02405332773923874,0.2,760,0.9915591478347778,-0.01813164156337734,3.3196235708892345,0.464935302734375,0.003946815527888248
5459,1277952,234,78,427.7485046386719,300.0,0.20085842907428741,0.0003,0.052708827,-0.02655990980565548,0.2,770,0.9900624752044678,-0.01597114614705788,3.3551818139851095,0.4724609375,0.004423890551697696
5461,1294336,237,79,433.5260925292969,300.0,0.20060883462429047,0.0003,0.055578075,-0.014260375872254372,0.2,780,0.991193950176239,-0.017191429926606362,3.3765683345496655,0.472833251953125,0.004276548889902187
5462,1310720,239,80,405.8683166503906,300.0,0.20025093853473663,0.0003,0.05254502,-0.054624393582344055,0.2,790,0.9924598932266235,-0.018543582492566203,3.3999667264521123,0.4697998046875,0.004612186420854414
5465,1327104,242,81,411.24139404296875,300.0,0.1998424530029297,0.0003,0.052944154,-0.038215044885873795,0.2,800,0.9908627271652222,-0.01823048079459113,3.4478939950466154,0.47908935546875,0.005261612359026913
