t_unix,roll_deg,pitch_deg
1786332093.453,-0.3,3.1
1786332093.753,3.5,10.7
1786332094.053,-3.3,5.8
1786332094.353,-0.7,-0.9
1786332094.653,1.1,11.3
1786332094.954,2.2,-2.9
1786332095.254,7.0,5.0
1786332095.554,-0.7,7.5
1786332095.854,-3.7,-7.1
1786332096.155,11.7,16.2
1786332096.455,-5.1,-1.9
1786332096.755,3.0,6.8
1786332097.055,1.8,7.4
1786332097.356,-1.4,-9.2
1786332097.656,0.5,19.5
1786332097.956,3.2,3.4
1786332098.256,1.2,4.6
1786332098.556,-3.4,6.5
1786332098.856,-4.6,-6.0
1786332099.157,12.7,17.8
1786332099.457,3.0,5.0
1786332099.757,2.3,9.2
1786332100.057,-7.2,3.4
1786332100.358,-3.6,-4.4
1786332100.658,0.0,19.5
1786332100.958,4.3,0.1
1786332101.259,9.3,11.8
1786332101.559,4.6,11.1
1786332101.859,10.6,-18.4
1786332102.160,12.8,11.5
1786332102.460,5.8,-3.1
1786332102.760,17.6,6.7
1786332103.060,0.3,4.8
1786332103.361,-1.4,-2.3
1786332103.661,5.4,11.5
1786332103.961,8.4,0.3
1786332104.262,6.3,8.5
1786332104.562,5.1,0.6
1786332104.862,-4.3,-0.7
1786332105.162,6.8,9.7
1786332105.462,3.3,-7.1
1786332105.763,8.2,7.7
1786332106.063,0.2,6.3
1786332106.363,-2.9,-5.3
1786332106.664,10.6,19.6
1786332106.964,0.7,-5.8
1786332107.264,9.5,6.0
1786332107.564,-1.2,3.8
1786332107.864,-2.8,-3.1
1786332108.165,6.4,16.1
1786332108.465,0.0,-9.5
1786332108.765,12.1,9.8
1786332109.066,-1.5,3.6
1786332109.366,-2.7,0.5
1786332109.666,1.8,16.0
1786332109.966,2.8,2.6
1786332110.266,8.1,10.9
1786332110.566,3.7,9.5
1786332110.866,3.8,9.0
1786332111.167,12.7,6.5
1786332111.467,-4.4,5.9
1786332111.767,-4.7,0.8
1786332112.067,-2.9,8.9
1786332112.367,-2.5,-5.3
1786332112.667,10.5,4.4
1786332112.968,7.0,-0.5
1786332113.268,8.6,7.5
1786332113.568,-2.4,-0.1
1786332113.868,-10.1,4.5
1786332114.168,-4.3,9.6
1786332114.468,4.7,7.9
1786332114.768,5.9,6.6
1786332115.069,1.5,2.2
1786332115.369,-1.6,-4.0
1786332115.669,1.1,13.0
1786332115.969,9.6,6.5
1786332116.269,8.1,7.2
1786332116.570,2.3,1.3
1786332116.870,-5.4,-1.1
1786332117.170,1.3,7.3
1786332117.471,-0.2,5.4
1786332117.771,6.4,-2.2
1786332118.071,-2.8,6.2
1786332118.371,-5.7,-4.3
1786332118.671,5.3,7.5
1786332118.971,3.3,4.0
1786332119.272,5.0,8.2
1786332119.572,-9.1,2.3
1786332119.872,-4.5,-2.0
1786332120.172,-1.2,6.5
1786332120.472,-1.1,3.2
1786332120.773,4.2,5.4
1786332121.073,-4.4,-6.9
1786332121.373,-8.7,-2.2
1786332121.673,3.5,10.9
1786332121.973,-1.0,0.7
1786332122.274,2.5,4.0
1786332122.574,-5.3,1.3
1786332122.874,-4.3,-1.3
1786332123.175,7.9,16.1
1786332123.475,-0.7,-4.8
1786332123.775,9.3,6.1
1786332124.075,1.9,1.1
1786332124.376,3.7,-4.2
1786332124.676,0.0,12.0
1786332124.977,3.0,1.0
1786332125.277,8.3,8.8
