t_unix,bus_ts,tag,q2_deg
1786331511.2233,1786331511.2210417,up10,88.86
1786331511.2493,1786331511.247462,up10,88.86
1786331511.2810,1786331511.2786758,up10,88.86
1786331511.3083,1786331511.305692,up10,88.86
1786331511.3413,1786331511.3387132,up10,88.86
1786331511.3686,1786331511.3663476,up10,88.86
1786331511.4016,1786331511.398974,up10,88.86
1786331511.4284,1786331511.4261508,up10,88.86
1786331511.4612,1786331511.45881,up10,88.86
1786331511.4886,1786331511.4862413,up10,88.86
1786331511.5213,1786331511.518979,up10,88.86
1786331511.5488,1786331511.546113,up10,88.86
1786331511.5961,1786331511.5936317,up10,88.86
1786331511.6227,1786331511.6204667,up10,88.86
1786331511.6542,1786331511.651894,up10,88.86
1786331511.6807,1786331511.6784728,up10,88.86
1786331511.7135,1786331511.7109194,up10,88.86
1786331511.7411,1786331511.7385685,up10,88.86
1786331511.7725,1786331511.7702549,up10,88.86
1786331511.7993,1786331511.7970078,up10,88.86
1786331511.8324,1786331511.8298697,up10,88.86
1786331511.8593,1786331511.8568873,up10,88.86
1786331511.8922,1786331511.8892684,up10,88.86
1786331511.9197,1786331511.9170492,up10,88.86
1786331511.9532,1786331511.950286,up10,88.86
1786331511.9800,1786331511.9775798,up10,88.86
1786331512.0133,1786331512.010622,up10,88.86
1786331512.0404,1786331512.0379572,up10,88.86
1786331512.0728,1786331512.0705783,up10,88.86
1786331512.0996,1786331512.0970309,up10,88.86
1786331512.1336,1786331512.1313288,up10,88.86
1786331512.1599,1786331512.157619,up10,88.86
1786331512.1917,1786331512.189329,up10,88.86
1786331512.2184,1786331512.216054,up10,88.86
1786331512.2602,1786331512.2575204,up10,88.86
1786331512.2876,1786331512.2851777,up10,88.86
1786331512.3206,1786331512.317871,up10,88.86
1786331512.3476,1786331512.3451154,up10,88.86
1786331512.3809,1786331512.3783743,up10,88.86
1786331512.4078,1786331512.404978,up10,88.86
1786331512.4428,1786331512.4399245,up10,88.86
1786331512.4700,1786331512.4673946,up10,88.86
1786331512.5040,1786331512.5011353,up10,88.86
1786331512.5310,1786331512.528385,up10,88.86
1786331512.5641,1786331512.5613003,up10,88.86
1786331512.5913,1786331512.58899,up10,88.86
1786331512.6274,1786331512.6253936,up10,88.86
1786331512.6533,1786331512.6509414,up10,88.86
1786331512.6859,1786331512.6833675,up10,88.86
1786331512.7124,1786331512.7097979,up10,88.86
1786331512.7449,1786331512.7425807,up10,88.86
1786331512.7717,1786331512.7691624,up10,88.86
1786331512.8048,1786331512.8018837,up10,88.86
1786331512.8312,1786331512.8288536,up10,88.86
1786331512.8638,1786331512.8614008,up10,88.86
1786331512.8902,1786331512.8877058,up10,88.86
1786331512.9235,1786331512.920745,up10,88.86
1786331512.9500,1786331512.9474194,up10,88.86
1786331512.9826,1786331512.9803047,up10,88.86
1786331513.0105,1786331513.0077648,up10,88.86
1786331513.0441,1786331513.0415587,up10,88.86
1786331513.0714,1786331513.068772,up10,88.86
1786331513.1041,1786331513.1016572,up10,88.86
1786331513.1324,1786331513.1300464,up10,88.86
1786331513.1645,1786331513.1617634,up10,88.86
1786331513.1912,1786331513.18865,up10,88.86
1786331513.2230,1786331513.2205093,up10,88.86
1786331513.2496,1786331513.2472527,up10,88.86
1786331513.2826,1786331513.2802749,up10,88.86
1786331513.3100,1786331513.3074017,up10,88.86
1786331513.3421,1786331513.3399794,up10,88.86
1786331513.3692,1786331513.3664474,up10,88.86
1786331513.4033,1786331513.4004102,up10,88.86
1786331513.4314,1786331513.4284246,up10,88.86
1786331513.4638,1786331513.4613237,up10,88.86
1786331513.4904,1786331513.487814,up10,88.86
1786331513.5246,1786331513.5216963,up10,88.86
1786331513.5525,1786331513.5497513,up10,88.86
1786331513.5857,1786331513.5828464,up10,88.86
1786331513.6061,None,CMD_dn10,None
1786331513.6266,1786331513.6241076,dn10,88.86
1786331513.6578,1786331513.655474,dn10,88.86
1786331513.6838,1786331513.681349,dn10,88.86
1786331513.7169,1786331513.7140636,dn10,88.68
1786331513.7434,1786331513.7410648,dn10,88.68
1786331513.7753,1786331513.773224,dn10,87.28
1786331513.8020,1786331513.799452,dn10,87.28
1786331513.8356,1786331513.8329554,dn10,85.08
1786331513.8624,1786331513.8601341,dn10,85.08
1786331513.8958,1786331513.892938,dn10,82.97
1786331513.9226,1786331513.9200606,dn10,82.97
1786331513.9560,1786331513.9535737,dn10,80.95
1786331513.9832,1786331513.9804235,dn10,80.95
1786331514.0162,1786331514.0134468,dn10,79.72
1786331514.0437,1786331514.0414956,dn10,79.72
1786331514.0806,1786331514.0777903,dn10,79.19
1786331514.1069,1786331514.1049063,dn10,79.19
1786331514.1388,1786331514.1365325,dn10,79.19
1786331514.1654,1786331514.1629474,dn10,79.19
1786331514.1979,1786331514.1956131,dn10,79.19
1786331514.2252,1786331514.2227998,dn10,79.19
1786331514.2595,1786331514.2570288,dn10,79.19
1786331514.2861,1786331514.2835696,dn10,79.19
1786331514.3188,1786331514.3165333,dn10,79.19
1786331514.3470,1786331514.344344,dn10,79.19
1786331514.3794,1786331514.3770323,dn10,79.19
1786331514.4068,1786331514.404232,dn10,79.19
1786331514.4395,1786331514.437004,dn10,79.19
1786331514.4670,1786331514.4644752,dn10,79.19
1786331514.5001,1786331514.4975522,dn10,79.19
1786331514.5272,1786331514.524516,dn10,79.19
1786331514.5594,1786331514.5569546,dn10,79.19
1786331514.5854,1786331514.5831265,dn10,79.19
1786331514.6168,1786331514.6141148,dn10,79.19
1786331514.6430,1786331514.6406403,dn10,79.19
1786331514.6750,1786331514.6726942,dn10,79.19
1786331514.7022,1786331514.6996458,dn10,79.19
1786331514.7345,1786331514.7320838,dn10,79.19
1786331514.7624,1786331514.7595673,dn10,79.19
1786331514.7959,1786331514.7934701,dn10,79.19
1786331514.8225,1786331514.8197806,dn10,79.19
1786331514.8549,1786331514.852609,dn10,79.19
1786331514.8824,1786331514.8796508,dn10,79.19
1786331514.9163,1786331514.9134064,dn10,79.19
1786331514.9429,1786331514.9407194,dn10,79.19
1786331514.9764,1786331514.973454,dn10,79.19
1786331515.0034,1786331515.0009897,dn10,79.19
1786331515.0362,1786331515.0337718,dn10,79.19
1786331515.0626,1786331515.0602415,dn10,79.19
1786331515.0945,1786331515.092297,dn10,79.19
1786331515.1213,1786331515.1185818,dn10,79.19
1786331515.1539,1786331515.1514173,dn10,79.19
1786331515.1813,1786331515.1784182,dn10,79.19
1786331515.2148,1786331515.2120678,dn10,79.19
1786331515.2419,1786331515.239405,dn10,79.19
1786331515.2839,1786331515.2812665,dn10,79.19
1786331515.3115,1786331515.3085427,dn10,79.19
1786331515.3451,1786331515.3419452,dn10,79.19
1786331515.3719,1786331515.3695023,dn10,79.19
1786331515.4045,1786331515.4021726,dn10,79.19
