time/time_elapsed,time/fps,time/iterations,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,train/entropy_loss,train/learning_rate,train/clip_range,train/value_loss,train/loss,train/std,train/policy_gradient_loss,train/n_updates,train/explained_variance,train/approx_kl,train/clip_fraction
264,5083,41,408.66180419921875,1343488,400.0,6.740511280794938,0.00015,0.2,0.006883773821755312,-0.012646766379475594,0.17540690302848816,-0.0028460425625477606,240,0.9867050647735596,0.031117704,0.3647206624348958
270,5086,42,450.0908508300781,1376256,400.0,6.777693890035152,0.00015,0.2,0.0074208984660799615,-0.007335540372878313,0.17514513432979584,-0.004470633764867671,246,0.9903050065040588,0.03255806,0.3730723063151042
276,5088,43,458.9135437011719,1409024,400.0,6.799588983257611,0.00015,0.2,0.006516691184515366,-0.019834602251648903,0.17504513263702393,-0.002306390345741723,252,0.9903056621551514,0.031013608,0.3635762532552083
283,5088,44,438.1869201660156,1441792,400.0,6.8265588991343975,0.00015,0.2,0.006539330970554147,0.0063671572133898735,0.17472510039806366,-0.0023315520738833584,258,0.9893975853919983,0.031114569,0.3720703125
289,5091,45,438.146240234375,1474560,400.0,6.858213473111391,0.00015,0.2,0.006673236024653306,-0.009814544580876827,0.17449280619621277,-0.0027502560975941983,264,0.988121747970581,0.03237282,0.3734385172526042
295,5092,46,474.1693420410156,1507328,400.0,6.877596603085597,0.00015,0.2,0.006254393893565672,-0.005385184660553932,0.17440886795520782,-0.0025951511155047533,270,0.9905505180358887,0.030686274,0.3664499918619792
302,5092,47,413.2157897949219,1540096,400.0,6.895989450315635,0.00015,0.2,0.007410784626699751,-0.004401993006467819,0.1741219013929367,-0.0029749069593284125,276,0.9876803159713745,0.031806327,0.3682505289713542
308,5093,48,443.5809631347656,1572864,400.0,6.916659243404865,0.00015,0.2,0.007237365280161612,-0.021250911056995392,0.17408177256584167,-0.0039050327147075827,282,0.9891234040260315,0.032771535,0.3696492513020833
314,5097,49,458.85406494140625,1605632,400.0,6.914680048823357,0.00015,0.2,0.006877284515212523,0.01041394006460905,0.17405232787132263,-0.003299503289478404,288,0.9894574880599976,0.03395851,0.3746744791666667
321,5096,50,461.5107116699219,1638400,400.0,6.949487083901961,0.00015,0.2,0.005475554612833851,-0.006102399900555611,0.17366166412830353,-0.0035098098493714738,294,0.9878041744232178,0.03184315,0.3693491617838542
